
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2018-11-03	24	65	21	32	15	11
2018-11-07	50	28	34	42	26	25
2018-11-10	53	29	5	57	34	24
2018-11-14	49	62	42	7	69	23
2018-11-17	8	6	68	20	52	5
2018-11-21	14	23	38	7	55	18
2018-11-24	56	33	58	51	11	18
2018-11-28	4	68	59	69	19	21
2018-12-01	10	58	47	11	55	26
2018-12-05	36	38	9	11	37	11
2018-12-08	61	14	34	32	46	10
2018-12-12	9	64	29	21	4	26
2018-12-15	8	38	55	52	43	17
2018-12-19	43	31	29	37	15	16
2018-12-22	40	59	28	21	30	26
2018-12-26	52	38	25	67	5	24
2018-12-29	51	53	42	62	12	25
2019-01-02	56	46	42	12	8	12
2019-01-05	15	27	69	7	3	19
2019-01-09	19	59	37	6	49	22
2019-01-12	57	58	7	36	48	24
2019-01-16	14	61	29	31	56	1
2019-01-19	5	65	8	66	41	20
2019-01-23	50	25	48	23	47	24
2019-01-26	12	8	21	32	20	10
2019-01-30	16	2	12	29	54	6
2019-02-02	10	43	17	18	65	13
2019-02-06	13	28	5	63	38	21
2019-02-09	7	39	2	3	1	25
2019-02-13	2	24	8	69	14	26
2019-02-16	48	30	41	64	29	1
2019-02-20	50	52	49	51	27	2
2019-02-23	32	4	20	6	14	13
2019-02-27	49	31	59	42	21	23
2019-03-02	27	68	25	19	1	21
2019-03-06	21	35	10	6	46	23
2019-03-09	45	5	59	55	6	14
2019-03-13	69	36	45	47	18	14
2019-03-16	67	30	34	39	53	11
2019-03-20	10	53	50	63	14	21
2019-03-23	66	52	60	24	25	5
2019-03-27	44	62	20	37	16	12
2019-03-30	54	52	21	64	68	4
2019-04-03	25	16	32	49	19	18
2019-04-06	33	43	60	59	15	8
2019-04-10	39	12	21	23	67	6
2019-04-13	17	26	32	4	49	10
2019-04-17	15	46	66	17	1	15
2019-04-20	3	63	27	65	30	1
2019-04-24	35	65	32	36	6	4
2019-04-27	45	29	62	41	2	6
2019-05-01	66	28	23	56	5	17
2019-05-04	30	6	23	16	61	2
2019-05-08	66	64	45	53	1	3
2019-05-11	40	9	8	6	37	26
2019-05-15	33	68	61	17	7	4
